class,id
neg,1.0
neg,2.0
neg,3.0
neg,4.0
neg,5.0
neg,6.0
neg,7.0
neg,8.0
neg,9.0
neg,10.0
neg,11.0
neg,12.0
neg,13.0
neg,14.0
neg,15.0
neg,16.0
neg,17.0
neg,18.0
neg,19.0
neg,20.0
neg,21.0
neg,22.0
neg,23.0
neg,24.0
neg,25.0
neg,26.0
neg,27.0
neg,28.0
neg,29.0
neg,30.0
neg,31.0
neg,32.0
neg,33.0
neg,34.0
neg,35.0
neg,36.0
neg,37.0
neg,38.0
neg,39.0
neg,40.0
neg,41.0
neg,42.0
pos,43.0
neg,44.0
neg,45.0
neg,46.0
neg,47.0
neg,48.0
neg,49.0
neg,50.0
neg,51.0
neg,52.0
neg,53.0
neg,54.0
neg,55.0
neg,56.0
neg,57.0
neg,58.0
neg,59.0
neg,60.0
neg,61.0
neg,62.0
neg,63.0
neg,64.0
neg,65.0
neg,66.0
neg,67.0
neg,68.0
neg,69.0
neg,70.0
neg,71.0
neg,72.0
neg,73.0
neg,74.0
neg,75.0
neg,76.0
neg,77.0
neg,78.0
neg,79.0
neg,80.0
neg,81.0
neg,82.0
neg,83.0
neg,84.0
neg,85.0
neg,86.0
neg,87.0
neg,88.0
neg,89.0
neg,90.0
neg,91.0
neg,92.0
neg,93.0
neg,94.0
neg,95.0
neg,96.0
neg,97.0
neg,98.0
neg,99.0
neg,100.0
pos,101.0
neg,102.0
neg,103.0
neg,104.0
neg,105.0
pos,106.0
pos,107.0
neg,108.0
neg,109.0
neg,110.0
neg,111.0
neg,112.0
neg,113.0
neg,114.0
neg,115.0
neg,116.0
neg,117.0
neg,118.0
neg,119.0
neg,120.0
neg,121.0
neg,122.0
neg,123.0
neg,124.0
neg,125.0
neg,126.0
neg,127.0
neg,128.0
neg,129.0
neg,130.0
neg,131.0
neg,132.0
neg,133.0
neg,134.0
neg,135.0
neg,136.0
neg,137.0
neg,138.0
neg,139.0
neg,140.0
neg,141.0
neg,142.0
neg,143.0
neg,144.0
neg,145.0
neg,146.0
neg,147.0
neg,148.0
neg,149.0
neg,150.0
neg,151.0
neg,152.0
neg,153.0
neg,154.0
neg,155.0
neg,156.0
neg,157.0
neg,158.0
neg,159.0
neg,160.0
neg,161.0
neg,162.0
neg,163.0
neg,164.0
neg,165.0
neg,166.0
neg,167.0
neg,168.0
neg,169.0
neg,170.0
neg,171.0
neg,172.0
neg,173.0
neg,174.0
neg,175.0
neg,176.0
neg,177.0
neg,178.0
neg,179.0
neg,180.0
neg,181.0
neg,182.0
neg,183.0
neg,184.0
neg,185.0
neg,186.0
neg,187.0
neg,188.0
neg,189.0
neg,190.0
neg,191.0
neg,192.0
neg,193.0
neg,194.0
neg,195.0
neg,196.0
neg,197.0
neg,198.0
neg,199.0
neg,200.0
neg,201.0
neg,202.0
neg,203.0
neg,204.0
neg,205.0
neg,206.0
neg,207.0
neg,208.0
neg,209.0
neg,210.0
neg,211.0
neg,212.0
neg,213.0
neg,214.0
neg,215.0
neg,216.0
neg,217.0
neg,218.0
neg,219.0
neg,220.0
neg,221.0
neg,222.0
neg,223.0
neg,224.0
neg,225.0
neg,226.0
neg,227.0
neg,228.0
neg,229.0
neg,230.0
neg,231.0
neg,232.0
neg,233.0
neg,234.0
neg,235.0
neg,236.0
neg,237.0
neg,238.0
neg,239.0
neg,240.0
neg,241.0
neg,242.0
neg,243.0
neg,244.0
neg,245.0
neg,246.0
neg,247.0
neg,248.0
neg,249.0
neg,250.0
neg,251.0
neg,252.0
neg,253.0
neg,254.0
neg,255.0
neg,256.0
neg,257.0
neg,258.0
neg,259.0
neg,260.0
neg,261.0
neg,262.0
neg,263.0
neg,264.0
neg,265.0
neg,266.0
neg,267.0
neg,268.0
neg,269.0
neg,270.0
neg,271.0
neg,272.0
neg,273.0
neg,274.0
neg,275.0
neg,276.0
neg,277.0
neg,278.0
neg,279.0
neg,280.0
neg,281.0
neg,282.0
neg,283.0
neg,284.0
neg,285.0
neg,286.0
neg,287.0
pos,288.0
neg,289.0
neg,290.0
neg,291.0
neg,292.0
neg,293.0
neg,294.0
neg,295.0
neg,296.0
neg,297.0
neg,298.0
neg,299.0
neg,300.0
neg,301.0
neg,302.0
neg,303.0
neg,304.0
neg,305.0
neg,306.0
neg,307.0
neg,308.0
pos,309.0
neg,310.0
neg,311.0
neg,312.0
neg,313.0
neg,314.0
neg,315.0
neg,316.0
neg,317.0
neg,318.0
neg,319.0
neg,320.0
neg,321.0
neg,322.0
neg,323.0
neg,324.0
neg,325.0
neg,326.0
neg,327.0
neg,328.0
neg,329.0
neg,330.0
neg,331.0
neg,332.0
neg,333.0
neg,334.0
neg,335.0
neg,336.0
neg,337.0
neg,338.0
neg,339.0
neg,340.0
neg,341.0
neg,342.0
neg,343.0
neg,344.0
neg,345.0
pos,346.0
neg,347.0
neg,348.0
neg,349.0
neg,350.0
neg,351.0
neg,352.0
neg,353.0
neg,354.0
neg,355.0
neg,356.0
neg,357.0
neg,358.0
neg,359.0
neg,360.0
neg,361.0
neg,362.0
neg,363.0
neg,364.0
neg,365.0
neg,366.0
pos,367.0
neg,368.0
neg,369.0
neg,370.0
neg,371.0
neg,372.0
pos,373.0
neg,374.0
neg,375.0
neg,376.0
neg,377.0
neg,378.0
neg,379.0
neg,380.0
neg,381.0
neg,382.0
neg,383.0
neg,384.0
neg,385.0
neg,386.0
neg,387.0
neg,388.0
neg,389.0
neg,390.0
neg,391.0
neg,392.0
neg,393.0
neg,394.0
neg,395.0
neg,396.0
neg,397.0
neg,398.0
neg,399.0
neg,400.0
neg,401.0
neg,402.0
neg,403.0
neg,404.0
neg,405.0
neg,406.0
neg,407.0
neg,408.0
neg,409.0
neg,410.0
neg,411.0
neg,412.0
neg,413.0
neg,414.0
neg,415.0
neg,416.0
neg,417.0
neg,418.0
neg,419.0
neg,420.0
neg,421.0
neg,422.0
neg,423.0
neg,424.0
neg,425.0
neg,426.0
pos,427.0
neg,428.0
neg,429.0
neg,430.0
neg,431.0
neg,432.0
neg,433.0
neg,434.0
pos,435.0
neg,436.0
neg,437.0
neg,438.0
neg,439.0
neg,440.0
neg,441.0
pos,442.0
neg,443.0
pos,444.0
neg,445.0
neg,446.0
neg,447.0
neg,448.0
neg,449.0
neg,450.0
neg,451.0
neg,452.0
neg,453.0
neg,454.0
neg,455.0
neg,456.0
neg,457.0
neg,458.0
neg,459.0
neg,460.0
neg,461.0
neg,462.0
neg,463.0
neg,464.0
neg,465.0
pos,466.0
neg,467.0
neg,468.0
pos,469.0
neg,470.0
neg,471.0
neg,472.0
neg,473.0
neg,474.0
neg,475.0
neg,476.0
neg,477.0
neg,478.0
neg,479.0
neg,480.0
neg,481.0
neg,482.0
neg,483.0
neg,484.0
neg,485.0
neg,486.0
pos,487.0
pos,488.0
neg,489.0
neg,490.0
neg,491.0
neg,492.0
neg,493.0
neg,494.0
neg,495.0
neg,496.0
neg,497.0
neg,498.0
neg,499.0
neg,500.0
neg,501.0
neg,502.0
neg,503.0
neg,504.0
neg,505.0
neg,506.0
neg,507.0
neg,508.0
neg,509.0
neg,510.0
neg,511.0
neg,512.0
neg,513.0
neg,514.0
neg,515.0
neg,516.0
neg,517.0
neg,518.0
neg,519.0
neg,520.0
neg,521.0
neg,522.0
neg,523.0
neg,524.0
pos,525.0
neg,526.0
neg,527.0
neg,528.0
neg,529.0
neg,530.0
neg,531.0
neg,532.0
neg,533.0
neg,534.0
neg,535.0
neg,536.0
pos,537.0
neg,538.0
neg,539.0
neg,540.0
neg,541.0
neg,542.0
neg,543.0
neg,544.0
neg,545.0
neg,546.0
neg,547.0
neg,548.0
neg,549.0
neg,550.0
neg,551.0
neg,552.0
neg,553.0
neg,554.0
neg,555.0
neg,556.0
neg,557.0
neg,558.0
neg,559.0
neg,560.0
neg,561.0
neg,562.0
neg,563.0
neg,564.0
neg,565.0
neg,566.0
neg,567.0
neg,568.0
neg,569.0
neg,570.0
neg,571.0
neg,572.0
neg,573.0
neg,574.0
neg,575.0
neg,576.0
neg,577.0
neg,578.0
neg,579.0
neg,580.0
neg,581.0
neg,582.0
neg,583.0
pos,584.0
neg,585.0
neg,586.0
neg,587.0
neg,588.0
neg,589.0
neg,590.0
neg,591.0
neg,592.0
neg,593.0
neg,594.0
neg,595.0
neg,596.0
neg,597.0
neg,598.0
neg,599.0
neg,600.0
neg,601.0
neg,602.0
neg,603.0
neg,604.0
neg,605.0
neg,606.0
neg,607.0
neg,608.0
neg,609.0
neg,610.0
neg,611.0
neg,612.0
pos,613.0
neg,614.0
neg,615.0
neg,616.0
neg,617.0
neg,618.0
neg,619.0
neg,620.0
neg,621.0
neg,622.0
neg,623.0
neg,624.0
neg,625.0
neg,626.0
neg,627.0
neg,628.0
neg,629.0
neg,630.0
neg,631.0
neg,632.0
neg,633.0
neg,634.0
neg,635.0
neg,636.0
neg,637.0
neg,638.0
neg,639.0
neg,640.0
neg,641.0
neg,642.0
neg,643.0
neg,644.0
neg,645.0
neg,646.0
neg,647.0
neg,648.0
neg,649.0
neg,650.0
neg,651.0
neg,652.0
neg,653.0
neg,654.0
neg,655.0
neg,656.0
neg,657.0
neg,658.0
neg,659.0
neg,660.0
neg,661.0
neg,662.0
neg,663.0
neg,664.0
neg,665.0
neg,666.0
neg,667.0
neg,668.0
neg,669.0
neg,670.0
neg,671.0
neg,672.0
neg,673.0
neg,674.0
neg,675.0
neg,676.0
neg,677.0
neg,678.0
neg,679.0
neg,680.0
neg,681.0
neg,682.0
neg,683.0
neg,684.0
neg,685.0
neg,686.0
neg,687.0
neg,688.0
neg,689.0
neg,690.0
neg,691.0
neg,692.0
neg,693.0
neg,694.0
neg,695.0
neg,696.0
pos,697.0
pos,698.0
neg,699.0
neg,700.0
neg,701.0
neg,702.0
neg,703.0
